symbol,base,quote,precio,inverso
1000CAT/USDT,1000CAT,USDT,0.0083000000,120.481927710843373494
1000CHEEMS/USDT,1000CHEEMS,USDT,0.0013140000,761.035007610350076104
1000SATS/USDT,1000SATS,USDT,0.0000394900,25322.866548493289440365
1INCH/USDT,1INCH,USDT,0.2571000000,3.889537145079735511
1MBABYDOGE/USDT,1MBABYDOGE,USDT,0.0012943000,772.618403770377810399
A/USDT,A,USDT,0.5129000000,1.949697796841489569
A2Z/USDT,A2Z,USDT,0.0061720000,162.022034996759559300
AAVE/USDT,AAVE,USDT,296.2400000000,0.003375641371860654
ACA/USDT,ACA,USDT,0.0302000000,33.112582781456953642
ACE/USDT,ACE,USDT,0.5580000000,1.792114695340501792
ACH/USDT,ACH,USDT,0.0217800000,45.913682277318640955
ACM/USDT,ACM,USDT,1.1130000000,0.898472596585804133
ACT/USDT,ACT,USDT,0.0405000000,24.691358024691358025
ACX/USDT,ACX,USDT,0.1789000000,5.589714924538848519
ADA/USDT,ADA,USDT,0.9197000000,1.087311079699902142
ADX/USDT,ADX,USDT,0.1457000000,6.863417982155113246
AEUR/USDT,AEUR,USDT,1.1140000000,0.897666068222621185
AEVO/USDT,AEVO,USDT,0.0991000000,10.090817356205852674
AGLD/USDT,AGLD,USDT,0.7160000000,1.396648044692737430
AI/USDT,AI,USDT,0.1255000000,7.968127490039840637
AIXBT/USDT,AIXBT,USDT,0.1166000000,8.576329331046312178
ALCX/USDT,ALCX,USDT,10.6200000000,0.094161958568738230
ALGO/USDT,ALGO,USDT,0.2616000000,3.822629969418960245
ALICE/USDT,ALICE,USDT,0.4001000000,2.499375156210947263
ALPINE/USDT,ALPINE,USDT,2.2130000000,0.451875282422051514
ALT/USDT,ALT,USDT,0.0359100000,27.847396268448900028
AMP/USDT,AMP,USDT,0.0036200000,276.243093922651933702
ANIME/USDT,ANIME,USDT,0.0180900000,55.279159756771697070
ANKR/USDT,ANKR,USDT,0.0160000000,62.500000000000000000
APE/USDT,APE,USDT,0.6217000000,1.608492842206852180
API3/USDT,API3,USDT,0.7740000000,1.291989664082687339
APT/USDT,APT,USDT,4.7070000000,0.212449543233482048
AR/USDT,AR,USDT,7.3100000000,0.136798905608755130
ARB/USDT,ARB,USDT,0.4927000000,2.029632636492794804
ARDR/USDT,ARDR,USDT,0.0958000000,10.438413361169102296
ARK/USDT,ARK,USDT,0.4440000000,2.252252252252252252
ARKM/USDT,ARKM,USDT,0.5550000000,1.801801801801801802
ARPA/USDT,ARPA,USDT,0.0231400000,43.215211754537597234
ASR/USDT,ASR,USDT,4.4610000000,0.224164985429275947
ASTR/USDT,ASTR,USDT,0.0249900000,40.016006402561024410
ATA/USDT,ATA,USDT,0.0503000000,19.880715705765407555
ATM/USDT,ATM,USDT,1.5240000000,0.656167979002624672
ATOM/USDT,ATOM,USDT,4.5550000000,0.219538968166849616
AUCTION/USDT,AUCTION,USDT,10.0900000000,0.099108027750247770
AUDIO/USDT,AUDIO,USDT,0.0643000000,15.552099533437013997
AVA/USDT,AVA,USDT,0.5846000000,1.710571330824495381
AVAX/USDT,AVAX,USDT,24.2200000000,0.041288191577208918
AWE/USDT,AWE,USDT,0.0509100000,19.642506383814574740
AXL/USDT,AXL,USDT,0.3389000000,2.950722927117143700
AXS/USDT,AXS,USDT,2.4060000000,0.415627597672485453
BABY/USDT,BABY,USDT,0.0566500000,17.652250661959399823
BAKE/USDT,BAKE,USDT,0.0864000000,11.574074074074074074
BANANA/USDT,BANANA,USDT,24.4000000000,0.040983606557377049
BANANAS31/USDT,BANANAS31,USDT,0.0068930000,145.074713477440882054
BAND/USDT,BAND,USDT,0.7680000000,1.302083333333333333
BAR/USDT,BAR,USDT,1.3220000000,0.756429652042360061
BAT/USDT,BAT,USDT,0.1676000000,5.966587112171837709
BB/USDT,BB,USDT,0.1200000000,8.333333333333333333
BCH/USDT,BCH,USDT,584.1000000000,0.001712035610340695
BEAMX/USDT,BEAMX,USDT,0.0079400000,125.944584382871536524
BEL/USDT,BEL,USDT,0.2634000000,3.796507213363705391
BERA/USDT,BERA,USDT,2.3110000000,0.432713111207269580
BFUSD/USDT,BFUSD,USDT,0.9994000000,1.000600360216129678
BICO/USDT,BICO,USDT,0.1090000000,9.174311926605504587
BIFI/USDT,BIFI,USDT,196.6000000000,0.005086469989827060
BIGTIME/USDT,BIGTIME,USDT,0.0576100000,17.358097552508245096
BIO/USDT,BIO,USDT,0.1021000000,9.794319294809010774
BLUR/USDT,BLUR,USDT,0.0822000000,12.165450121654501217
BMT/USDT,BMT,USDT,0.0771000000,12.970168612191958495
BNB/USDT,BNB,USDT,835.4100000000,0.001197017033552387
BNSOL/USDT,BNSOL,USDT,201.9000000000,0.004952947003467063
BNT/USDT,BNT,USDT,0.7857000000,1.272750413643884434
BOME/USDT,BOME,USDT,0.0018550000,539.083557951482479784
BONK/USDT,BONK,USDT,0.0000242500,41237.113402061855670103
BROCCOLI714/USDT,BROCCOLI714,USDT,0.0256800000,38.940809968847352025
BTC/USDT,BTC,USDT,117710.6200000000,0.000008495410184739
BTTC/USDT,BTTC,USDT,0.0000006800,1470588.235294117647058824
C/USDT,C,USDT,0.2280000000,4.385964912280701754
C98/USDT,C98,USDT,0.0542000000,18.450184501845018450
CAKE/USDT,CAKE,USDT,2.7370000000,0.365363536719035440
CATI/USDT,CATI,USDT,0.0895000000,11.173184357541899441
CELO/USDT,CELO,USDT,0.3386000000,2.953337271116361488
CELR/USDT,CELR,USDT,0.0087800000,113.895216400911161731
CETUS/USDT,CETUS,USDT,0.1050000000,9.523809523809523810
CFX/USDT,CFX,USDT,0.1784000000,5.605381165919282511
CGPT/USDT,CGPT,USDT,0.0955000000,10.471204188481675393
CHESS/USDT,CHESS,USDT,0.0746000000,13.404825737265415550
CHR/USDT,CHR,USDT,0.1074000000,9.310986964618249534
CHZ/USDT,CHZ,USDT,0.0413900000,24.160425223483933317
CITY/USDT,CITY,USDT,1.2070000000,0.828500414250207125
CKB/USDT,CKB,USDT,0.0052010000,192.270717169775043261
COMP/USDT,COMP,USDT,48.1000000000,0.020790020790020790
COOKIE/USDT,COOKIE,USDT,0.1420000000,7.042253521126760563
COS/USDT,COS,USDT,0.0034380000,290.866783013379872019
COTI/USDT,COTI,USDT,0.0549100000,18.211619012930249499
COW/USDT,COW,USDT,0.3838000000,2.605523710265763418
CRV/USDT,CRV,USDT,0.8688000000,1.151012891344383057
CTK/USDT,CTK,USDT,0.3518000000,2.842524161455372371
CTSI/USDT,CTSI,USDT,0.1085000000,9.216589861751152074
CVC/USDT,CVC,USDT,0.0979000000,10.214504596527068437
CVX/USDT,CVX,USDT,4.1820000000,0.239120038259206121
CYBER/USDT,CYBER,USDT,2.3920000000,0.418060200668896321
D/USDT,D,USDT,0.0355100000,28.161081385525204168
DASH/USDT,DASH,USDT,23.3500000000,0.042826552462526767
DATA/USDT,DATA,USDT,0.0166300000,60.132291040288634997
DCR/USDT,DCR,USDT,17.5600000000,0.056947608200455581
DEGO/USDT,DEGO,USDT,1.2720000000,0.786163522012578616
DENT/USDT,DENT,USDT,0.0008120000,1231.527093596059113300
DEXE/USDT,DEXE,USDT,7.4020000000,0.135098621994055661
DF/USDT,DF,USDT,0.0303700000,32.927230819888047415
DGB/USDT,DGB,USDT,0.0093900000,106.496272630457933972
DIA/USDT,DIA,USDT,0.7541000000,1.326084073730274499
DODO/USDT,DODO,USDT,0.0454000000,22.026431718061674009
DOGE/USDT,DOGE,USDT,0.2296500000,4.354452427607228391
DOGS/USDT,DOGS,USDT,0.0001380000,7246.376811594202898551
DOT/USDT,DOT,USDT,3.9540000000,0.252908447142134547
DUSK/USDT,DUSK,USDT,0.0686000000,14.577259475218658892
DYDX/USDT,DYDX,USDT,0.6637000000,1.506704836522525237
DYM/USDT,DYM,USDT,0.2540000000,3.937007874015748031
EDU/USDT,EDU,USDT,0.1381000000,7.241129616220130340
EGLD/USDT,EGLD,USDT,15.3200000000,0.065274151436031332
EIGEN/USDT,EIGEN,USDT,1.3620000000,0.734214390602055800
ENA/USDT,ENA,USDT,0.7250000000,1.379310344827586207
ENJ/USDT,ENJ,USDT,0.0697000000,14.347202295552367288
ENS/USDT,ENS,USDT,26.3900000000,0.037893141341417203
EPIC/USDT,EPIC,USDT,2.5860000000,0.386697602474864656
ERA/USDT,ERA,USDT,0.9522000000,1.050199537912203319
ETC/USDT,ETC,USDT,22.2900000000,0.044863167339614177
ETH/USDT,ETH,USDT,4426.4300000000,0.000225915692781768
ETHFI/USDT,ETHFI,USDT,1.1700000000,0.854700854700854701
EURI/USDT,EURI,USDT,1.1674000000,0.856604420078807607
FARM/USDT,FARM,USDT,30.4700000000,0.032819166393173613
FDUSD/USDT,FDUSD,USDT,0.9978000000,1.002204850671477250
FET/USDT,FET,USDT,0.7040000000,1.420454545454545455
FIDA/USDT,FIDA,USDT,0.0996000000,10.040160642570281124
FIL/USDT,FIL,USDT,2.5150000000,0.397614314115308151
FIO/USDT,FIO,USDT,0.0180200000,55.493895671476137625
FIS/USDT,FIS,USDT,0.1246000000,8.025682182985553772
FLM/USDT,FLM,USDT,0.0305000000,32.786885245901639344
FLOKI/USDT,FLOKI,USDT,0.0001065500,9385.265133740028155795
FLOW/USDT,FLOW,USDT,0.3930000000,2.544529262086513995
FLUX/USDT,FLUX,USDT,0.2175000000,4.597701149425287356
FORM/USDT,FORM,USDT,3.7593000000,0.266006969382597824
FORTH/USDT,FORTH,USDT,2.9340000000,0.340831629175187457
FTT/USDT,FTT,USDT,0.9240000000,1.082251082251082251
FUN/USDT,FUN,USDT,0.0094090000,106.281220108406844511
FXS/USDT,FXS,USDT,2.7850000000,0.359066427289048474
G/USDT,G,USDT,0.0122400000,81.699346405228758170
GALA/USDT,GALA,USDT,0.0172800000,57.870370370370370370
