symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
1000CAT/BNB,1000CAT,BNB,base:1000CAT; quote:BNB,indirecto,,
1000CAT/FDUSD,1000CAT,FDUSD,base:1000CAT; quote:FDUSD,indirecto,,
1000CAT/USDC,1000CAT,USDC,base:1000CAT; quote:USDC,indirecto,,
1000CHEEMS/USDC,1000CHEEMS,USDC,base:1000CHEEMS; quote:USDC,indirecto,,
1000SATS/FDUSD,1000SATS,FDUSD,base:1000SATS; quote:FDUSD,indirecto,,
1000SATS/USDC,1000SATS,USDC,base:1000SATS; quote:USDC,indirecto,,
1INCH/BTC,1INCH,BTC,base:1INCH; quote:BTC,indirecto,,
1MBABYDOGE/FDUSD,1MBABYDOGE,FDUSD,base:1MBABYDOGE; quote:FDUSD,indirecto,,
1MBABYDOGE/USDC,1MBABYDOGE,USDC,base:1MBABYDOGE; quote:USDC,indirecto,,
A/BTC,A,BTC,base:A; quote:BTC,indirecto,,
A/ETH,A,ETH,base:A; quote:ETH,indirecto,,
A/FDUSD,A,FDUSD,base:A; quote:FDUSD,indirecto,,
A/USDC,A,USDC,base:A; quote:USDC,indirecto,,
AAVE/BTC,AAVE,BTC,base:AAVE; quote:BTC,indirecto,,
AAVE/ETH,AAVE,ETH,base:AAVE; quote:ETH,indirecto,,
AAVE/FDUSD,AAVE,FDUSD,base:AAVE; quote:FDUSD,indirecto,,
AAVE/USDC,AAVE,USDC,base:AAVE; quote:USDC,indirecto,,
ACH/BTC,ACH,BTC,base:ACH; quote:BTC,indirecto,,
ACH/USDC,ACH,USDC,base:ACH; quote:USDC,indirecto,,
ACT/FDUSD,ACT,FDUSD,base:ACT; quote:FDUSD,indirecto,,
ACT/USDC,ACT,USDC,base:ACT; quote:USDC,indirecto,,
ACX/USDC,ACX,USDC,base:ACX; quote:USDC,indirecto,,
ADA/BNB,ADA,BNB,base:ADA; quote:BNB,indirecto,,
ADA/BTC,ADA,BTC,base:ADA; quote:BTC,indirecto,,
ADA/ETH,ADA,ETH,base:ADA; quote:ETH,indirecto,,
ADA/FDUSD,ADA,FDUSD,base:ADA; quote:FDUSD,indirecto,,
ADA/USDC,ADA,USDC,base:ADA; quote:USDC,indirecto,,
ADX/BTC,ADX,BTC,base:ADX; quote:BTC,indirecto,,
ADX/ETH,ADX,ETH,base:ADX; quote:ETH,indirecto,,
AEVO/BTC,AEVO,BTC,base:AEVO; quote:BTC,indirecto,,
AEVO/FDUSD,AEVO,FDUSD,base:AEVO; quote:FDUSD,indirecto,,
AGLD/BTC,AGLD,BTC,base:AGLD; quote:BTC,indirecto,,
AI/BNB,AI,BNB,base:AI; quote:BNB,indirecto,,
AI/BTC,AI,BTC,base:AI; quote:BTC,indirecto,,
AI/FDUSD,AI,FDUSD,base:AI; quote:FDUSD,indirecto,,
AIXBT/USDC,AIXBT,USDC,base:AIXBT; quote:USDC,indirecto,,
ALGO/BTC,ALGO,BTC,base:ALGO; quote:BTC,indirecto,,
ALGO/USDC,ALGO,USDC,base:ALGO; quote:USDC,indirecto,,
ALT/BNB,ALT,BNB,base:ALT; quote:BNB,indirecto,,
ALT/BTC,ALT,BTC,base:ALT; quote:BTC,indirecto,,
ALT/FDUSD,ALT,FDUSD,base:ALT; quote:FDUSD,indirecto,,
ALT/USDC,ALT,USDC,base:ALT; quote:USDC,indirecto,,
ANIME/USDC,ANIME,USDC,base:ANIME; quote:USDC,indirecto,,
ANKR/BTC,ANKR,BTC,base:ANKR; quote:BTC,indirecto,,
APE/BTC,APE,BTC,base:APE; quote:BTC,indirecto,,
APE/FDUSD,APE,FDUSD,base:APE; quote:FDUSD,indirecto,,
APE/USDC,APE,USDC,base:APE; quote:USDC,indirecto,,
API3/BTC,API3,BTC,base:API3; quote:BTC,indirecto,,
API3/USDC,API3,USDC,base:API3; quote:USDC,indirecto,,
APT/BTC,APT,BTC,base:APT; quote:BTC,indirecto,,
APT/ETH,APT,ETH,base:APT; quote:ETH,indirecto,,
APT/FDUSD,APT,FDUSD,base:APT; quote:FDUSD,indirecto,,
APT/USDC,APT,USDC,base:APT; quote:USDC,indirecto,,
AR/BTC,AR,BTC,base:AR; quote:BTC,indirecto,,
AR/FDUSD,AR,FDUSD,base:AR; quote:FDUSD,indirecto,,
AR/USDC,AR,USDC,base:AR; quote:USDC,indirecto,,
ARB/BTC,ARB,BTC,base:ARB; quote:BTC,indirecto,,
ARB/ETH,ARB,ETH,base:ARB; quote:ETH,indirecto,,
ARB/FDUSD,ARB,FDUSD,base:ARB; quote:FDUSD,indirecto,,
ARB/TUSD,ARB,TUSD,base:ARB; quote:TUSD,indirecto,,
ARB/USDC,ARB,USDC,base:ARB; quote:USDC,indirecto,,
ARDR/BTC,ARDR,BTC,base:ARDR; quote:BTC,indirecto,,
ARKM/BNB,ARKM,BNB,base:ARKM; quote:BNB,indirecto,,
ARKM/BTC,ARKM,BTC,base:ARKM; quote:BTC,indirecto,,
ARKM/FDUSD,ARKM,FDUSD,base:ARKM; quote:FDUSD,indirecto,,
ARKM/USDC,ARKM,USDC,base:ARKM; quote:USDC,indirecto,,
ARPA/BTC,ARPA,BTC,base:ARPA; quote:BTC,indirecto,,
ASTR/BTC,ASTR,BTC,base:ASTR; quote:BTC,indirecto,,
ATA/BTC,ATA,BTC,base:ATA; quote:BTC,indirecto,,
ATOM/BTC,ATOM,BTC,base:ATOM; quote:BTC,indirecto,,
ATOM/ETH,ATOM,ETH,base:ATOM; quote:ETH,indirecto,,
