info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
TRADING,binance,binance:1000000BOB/USDT:USDT,1000000BOB/USDT:USDT,
TRADING,binance,binance:1000000MOG/USDT:USDT,1000000MOG/USDT:USDT,
TRADING,binance,binance:1000BONK/USDC:USDC,1000BONK/USDC:USDC,
TRADING,binance,binance:1000BONK/USDT:USDT,1000BONK/USDT:USDT,
TRADING,binance,binance:1000CAT/BNB,1000CAT/BNB,True
TRADING,binance,binance:1000CAT/FDUSD,1000CAT/FDUSD,True
TRADING,binance,binance:1000CAT/TRY,1000CAT/TRY,True
TRADING,binance,binance:1000CAT/USDC,1000CAT/USDC,True
TRADING,binance,binance:1000CAT/USDT,1000CAT/USDT,True
TRADING,binance,binance:1000CAT/USDT:USDT,1000CAT/USDT:USDT,
TRADING,binance,binance:1000CHEEMS/USDC,1000CHEEMS/USDC,True
TRADING,binance,binance:1000CHEEMS/USDT,1000CHEEMS/USDT,True
TRADING,binance,binance:1000CHEEMS/USDT:USDT,1000CHEEMS/USDT:USDT,
TRADING,binance,binance:1000FLOKI/USDT:USDT,1000FLOKI/USDT:USDT,
TRADING,binance,binance:1000LUNC/USDT:USDT,1000LUNC/USDT:USDT,
TRADING,binance,binance:1000PEPE/USDC:USDC,1000PEPE/USDC:USDC,
TRADING,binance,binance:1000PEPE/USDT:USDT,1000PEPE/USDT:USDT,
TRADING,binance,binance:1000RATS/USDT:USDT,1000RATS/USDT:USDT,
TRADING,binance,binance:1000SATS/FDUSD,1000SATS/FDUSD,True
TRADING,binance,binance:1000SATS/TRY,1000SATS/TRY,True
TRADING,binance,binance:1000SATS/USDC,1000SATS/USDC,True
TRADING,binance,binance:1000SATS/USDT,1000SATS/USDT,True
TRADING,binance,binance:1000SATS/USDT:USDT,1000SATS/USDT:USDT,
TRADING,binance,binance:1000SHIB/USDC:USDC,1000SHIB/USDC:USDC,
TRADING,binance,binance:1000SHIB/USDT:USDT,1000SHIB/USDT:USDT,
TRADING,binance,binance:1000WHY/USDT:USDT,1000WHY/USDT:USDT,
TRADING,binance,binance:1000X/USDT:USDT,1000X/USDT:USDT,
TRADING,binance,binance:1000XEC/USDT:USDT,1000XEC/USDT:USDT,
TRADING,binance,binance:1INCH/BTC,1INCH/BTC,True
BREAK,binance,binance:1INCH/BUSD,1INCH/BUSD,True
TRADING,binance,binance:1INCH/USDT,1INCH/USDT,True
TRADING,binance,binance:1INCH/USDT:USDT,1INCH/USDT:USDT,
BREAK,binance,binance:1INCHDOWN/USDT,1INCHDOWN/USDT,False
BREAK,binance,binance:1INCHUP/USDT,1INCHUP/USDT,False
TRADING,binance,binance:1MBABYDOGE/FDUSD,1MBABYDOGE/FDUSD,True
