precision_amount,precision_price,exchange,symbol_id,symbol
1.0,1e-05,binance,binance:1000000BOB/USDT:USDT,1000000BOB/USDT:USDT
0.1,0.0001,binance,binance:1000000MOG/USDT:USDT,1000000MOG/USDT:USDT
1.0,1e-06,binance,binance:1000BONK/USDC:USDC,1000BONK/USDC:USDC
1.0,1e-06,binance,binance:1000BONK/USDT:USDT,1000BONK/USDT:USDT
0.1,1e-08,binance,binance:1000CAT/BNB,1000CAT/BNB
0.1,1e-05,binance,binance:1000CAT/FDUSD,1000CAT/FDUSD
0.1,0.001,binance,binance:1000CAT/TRY,1000CAT/TRY
0.1,1e-05,binance,binance:1000CAT/USDC,1000CAT/USDC
0.1,1e-05,binance,binance:1000CAT/USDT,1000CAT/USDT
1.0,1e-06,binance,binance:1000CAT/USDT:USDT,1000CAT/USDT:USDT
1.0,1e-06,binance,binance:1000CHEEMS/USDC,1000CHEEMS/USDC
1.0,1e-06,binance,binance:1000CHEEMS/USDT,1000CHEEMS/USDT
1.0,1e-07,binance,binance:1000CHEEMS/USDT:USDT,1000CHEEMS/USDT:USDT
1.0,1e-05,binance,binance:1000FLOKI/USDT:USDT,1000FLOKI/USDT:USDT
1.0,1e-05,binance,binance:1000LUNC/USDT:USDT,1000LUNC/USDT:USDT
1.0,1e-07,binance,binance:1000PEPE/USDC:USDC,1000PEPE/USDC:USDC
1.0,1e-07,binance,binance:1000PEPE/USDT:USDT,1000PEPE/USDT:USDT
1.0,1e-05,binance,binance:1000RATS/USDT:USDT,1000RATS/USDT:USDT
1.0,1e-08,binance,binance:1000SATS/FDUSD,1000SATS/FDUSD
1.0,1e-06,binance,binance:1000SATS/TRY,1000SATS/TRY
1.0,1e-08,binance,binance:1000SATS/USDC,1000SATS/USDC
1.0,1e-08,binance,binance:1000SATS/USDT,1000SATS/USDT
1.0,1e-07,binance,binance:1000SATS/USDT:USDT,1000SATS/USDT:USDT
1.0,1e-06,binance,binance:1000SHIB/USDC:USDC,1000SHIB/USDC:USDC
1.0,1e-06,binance,binance:1000SHIB/USDT:USDT,1000SHIB/USDT:USDT
1.0,1e-07,binance,binance:1000WHY/USDT:USDT,1000WHY/USDT:USDT
1.0,1e-05,binance,binance:1000X/USDT:USDT,1000X/USDT:USDT
1.0,1e-05,binance,binance:1000XEC/USDT:USDT,1000XEC/USDT:USDT
0.1,1e-08,binance,binance:1INCH/BTC,1INCH/BTC
0.1,0.0001,binance,binance:1INCH/BUSD,1INCH/BUSD
0.1,0.0001,binance,binance:1INCH/USDT,1INCH/USDT
1.0,0.0001,binance,binance:1INCH/USDT:USDT,1INCH/USDT:USDT
0.01,1e-06,binance,binance:1INCHDOWN/USDT,1INCHDOWN/USDT
0.01,1e-06,binance,binance:1INCHUP/USDT,1INCHUP/USDT
1.0,1e-07,binance,binance:1MBABYDOGE/FDUSD,1MBABYDOGE/FDUSD
1.0,1e-05,binance,binance:1MBABYDOGE/TRY,1MBABYDOGE/TRY
1.0,1e-07,binance,binance:1MBABYDOGE/USDC,1MBABYDOGE/USDC
1.0,1e-07,binance,binance:1MBABYDOGE/USDT,1MBABYDOGE/USDT
1.0,1e-07,binance,binance:1MBABYDOGE/USDT:USDT,1MBABYDOGE/USDT:USDT
0.1,1e-08,binance,binance:A/BTC,A/BTC
0.1,1e-07,binance,binance:A/ETH,A/ETH
0.1,0.0001,binance,binance:A/FDUSD,A/FDUSD
0.1,0.01,binance,binance:A/TRY,A/TRY
0.1,0.0001,binance,binance:A/USDC,A/USDC
0.1,0.0001,binance,binance:A/USDT,A/USDT
1.0,1e-05,binance,binance:A/USDT:USDT,A/USDT:USDT
1.0,1e-06,binance,binance:A2Z/USDT,A2Z/USDT
1.0,1e-06,binance,binance:A2Z/USDT:USDT,A2Z/USDT:USDT
0.001,1.0,binance,binance:AAVE/BKRW,AAVE/BKRW
0.001,0.0001,binance,binance:AAVE/BNB,AAVE/BNB
0.001,1.0,binance,binance:AAVE/BRL,AAVE/BRL
0.001,1e-06,binance,binance:AAVE/BTC,AAVE/BTC
0.001,0.01,binance,binance:AAVE/BUSD,AAVE/BUSD
0.001,1e-05,binance,binance:AAVE/ETH,AAVE/ETH
0.001,0.01,binance,binance:AAVE/FDUSD,AAVE/FDUSD
0.001,1.0,binance,binance:AAVE/TRY,AAVE/TRY
1.0,0.01,binance,binance:AAVE/USD:AAVE,AAVE/USD:AAVE
0.001,0.01,binance,binance:AAVE/USDC,AAVE/USDC
0.1,0.01,binance,binance:AAVE/USDC:USDC,AAVE/USDC:USDC
0.001,0.01,binance,binance:AAVE/USDT,AAVE/USDT
0.1,0.01,binance,binance:AAVE/USDT:USDT,AAVE/USDT:USDT
0.01,1e-06,binance,binance:AAVEDOWN/USDT,AAVEDOWN/USDT
0.01,0.0001,binance,binance:AAVEUP/USDT,AAVEUP/USDT
0.01,1e-08,binance,binance:ACA/BTC,ACA/BTC
0.01,0.0001,binance,binance:ACA/BUSD,ACA/BUSD
1.0,0.001,binance,binance:ACA/TRY,ACA/TRY
0.01,0.0001,binance,binance:ACA/USDT,ACA/USDT
0.1,1e-05,binance,binance:ACE/BNB,ACE/BNB
0.1,1e-08,binance,binance:ACE/BTC,ACE/BTC
0.1,0.001,binance,binance:ACE/FDUSD,ACE/FDUSD
0.1,0.01,binance,binance:ACE/TRY,ACE/TRY
