exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:1000000BOB/USDT:USDT,1000000BOB/USDT:USDT,1000000BOB,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000000MOG/USDT:USDT,1000000MOG/USDT:USDT,1000000MOG,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000BONK/USDC:USDC,1000BONK/USDC:USDC,1000BONK,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000BONK/USDT:USDT,1000BONK/USDT:USDT,1000BONK,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000CAT/BNB,1000CAT/BNB,1000CAT,BNB,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CAT/FDUSD,1000CAT/FDUSD,1000CAT,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CAT/TRY,1000CAT/TRY,1000CAT,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CAT/USDC,1000CAT/USDC,1000CAT,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CAT/USDT,1000CAT/USDT,1000CAT,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CAT/USDT:USDT,1000CAT/USDT:USDT,1000CAT,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000CHEEMS/USDC,1000CHEEMS/USDC,1000CHEEMS,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CHEEMS/USDT,1000CHEEMS/USDT,1000CHEEMS,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000CHEEMS/USDT:USDT,1000CHEEMS/USDT:USDT,1000CHEEMS,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000FLOKI/USDT:USDT,1000FLOKI/USDT:USDT,1000FLOKI,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000LUNC/USDT:USDT,1000LUNC/USDT:USDT,1000LUNC,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000PEPE/USDC:USDC,1000PEPE/USDC:USDC,1000PEPE,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000PEPE/USDT:USDT,1000PEPE/USDT:USDT,1000PEPE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000RATS/USDT:USDT,1000RATS/USDT:USDT,1000RATS,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000SATS/FDUSD,1000SATS/FDUSD,1000SATS,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000SATS/TRY,1000SATS/TRY,1000SATS,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000SATS/USDC,1000SATS/USDC,1000SATS,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000SATS/USDT,1000SATS/USDT,1000SATS,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:1000SATS/USDT:USDT,1000SATS/USDT:USDT,1000SATS,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000SHIB/USDC:USDC,1000SHIB/USDC:USDC,1000SHIB,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000SHIB/USDT:USDT,1000SHIB/USDT:USDT,1000SHIB,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000WHY/USDT:USDT,1000WHY/USDT:USDT,1000WHY,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000X/USDT:USDT,1000X/USDT:USDT,1000X,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1000XEC/USDT:USDT,1000XEC/USDT:USDT,1000XEC,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1INCH/BTC,1INCH/BTC,1INCH,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:1INCH/BUSD,1INCH/BUSD,1INCH,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:1INCH/USDT,1INCH/USDT,1INCH,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:1INCH/USDT:USDT,1INCH/USDT:USDT,1INCH,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:1INCHDOWN/USDT,1INCHDOWN/USDT,1INCHDOWN,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:1INCHUP/USDT,1INCHUP/USDT,1INCHUP,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:1MBABYDOGE/FDUSD,1MBABYDOGE/FDUSD,1MBABYDOGE,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:1MBABYDOGE/TRY,1MBABYDOGE/TRY,1MBABYDOGE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:1MBABYDOGE/USDC,1MBABYDOGE/USDC,1MBABYDOGE,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:1MBABYDOGE/USDT,1MBABYDOGE/USDT,1MBABYDOGE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:1MBABYDOGE/USDT:USDT,1MBABYDOGE/USDT:USDT,1MBABYDOGE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:A/BTC,A/BTC,A,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/ETH,A/ETH,A,ETH,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/FDUSD,A/FDUSD,A,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/TRY,A/TRY,A,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/USDC,A/USDC,A,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/USDT,A/USDT,A,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:A/USDT:USDT,A/USDT:USDT,A,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:A2Z/USDT,A2Z/USDT,A2Z,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:A2Z/USDT:USDT,A2Z/USDT:USDT,A2Z,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AAVE/BKRW,AAVE/BKRW,AAVE,BKRW,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVE/BNB,AAVE/BNB,AAVE,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVE/BRL,AAVE/BRL,AAVE,BRL,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVE/BTC,AAVE/BTC,AAVE,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/BUSD,AAVE/BUSD,AAVE,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVE/ETH,AAVE/ETH,AAVE,ETH,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/FDUSD,AAVE/FDUSD,AAVE,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/TRY,AAVE/TRY,AAVE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USD:AAVE,AAVE/USD:AAVE,AAVE,USD,swap,False,True,False,False,True,0.0005,0.0001
binance,binance:AAVE/USDC,AAVE/USDC,AAVE,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USDC:USDC,AAVE/USDC:USDC,AAVE,USDC,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AAVE/USDT,AAVE/USDT,AAVE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AAVE/USDT:USDT,AAVE/USDT:USDT,AAVE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AAVEDOWN/USDT,AAVEDOWN/USDT,AAVEDOWN,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AAVEUP/USDT,AAVEUP/USDT,AAVEUP,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/BTC,ACA/BTC,ACA,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/BUSD,ACA/BUSD,ACA,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACA/TRY,ACA/TRY,ACA,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACA/USDT,ACA/USDT,ACA,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/BNB,ACE/BNB,ACE,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/BTC,ACE/BTC,ACE,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/FDUSD,ACE/FDUSD,ACE,FDUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACE/TRY,ACE/TRY,ACE,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/USDT,ACE/USDT,ACE,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACE/USDT:USDT,ACE/USDT:USDT,ACE,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:ACH/BTC,ACH/BTC,ACH,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/BUSD,ACH/BUSD,ACH,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:ACH/TRY,ACH/TRY,ACH,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/USDC,ACH/USDC,ACH,USDC,spot,True,False,False,False,True,0.001,0.001
binance,binance:ACH/USDT,ACH/USDT,ACH,USDT,spot,True,False,False,False,True,0.001,0.001
