symbol,base,quote
1000CAT/USDT,1000CAT,USDT
1000CHEEMS/USDT,1000CHEEMS,USDT
1000SATS/USDT,1000SATS,USDT
1INCH/USDT,1INCH,USDT
1MBABYDOGE/USDT,1MBABYDOGE,USDT
A/USDT,A,USDT
A2Z/USDT,A2Z,USDT
AAVE/USDT,AAVE,USDT
ACA/USDT,ACA,USDT
ACE/USDT,ACE,USDT
ACH/USDT,ACH,USDT
ACM/USDT,ACM,USDT
ACT/USDT,ACT,USDT
ACX/USDT,ACX,USDT
ADA/USDT,ADA,USDT
ADX/USDT,ADX,USDT
AEUR/USDT,AEUR,USDT
AEVO/USDT,AEVO,USDT
AGLD/USDT,AGLD,USDT
AI/USDT,AI,USDT
AIXBT/USDT,AIXBT,USDT
ALCX/USDT,ALCX,USDT
ALGO/USDT,ALGO,USDT
ALICE/USDT,ALICE,USDT
ALPINE/USDT,ALPINE,USDT
ALT/USDT,ALT,USDT
AMP/USDT,AMP,USDT
ANIME/USDT,ANIME,USDT
ANKR/USDT,ANKR,USDT
APE/USDT,APE,USDT
API3/USDT,API3,USDT
APT/USDT,APT,USDT
AR/USDT,AR,USDT
ARB/USDT,ARB,USDT
ARDR/USDT,ARDR,USDT
ARK/USDT,ARK,USDT
ARKM/USDT,ARKM,USDT
ARPA/USDT,ARPA,USDT
ASR/USDT,ASR,USDT
ASTR/USDT,ASTR,USDT
ATA/USDT,ATA,USDT
ATM/USDT,ATM,USDT
ATOM/USDT,ATOM,USDT
AUCTION/USDT,AUCTION,USDT
AUDIO/USDT,AUDIO,USDT
AVA/USDT,AVA,USDT
AVAX/USDT,AVAX,USDT
AWE/USDT,AWE,USDT
AXL/USDT,AXL,USDT
AXS/USDT,AXS,USDT
BABY/USDT,BABY,USDT
BAKE/USDT,BAKE,USDT
BANANA/USDT,BANANA,USDT
BANANAS31/USDT,BANANAS31,USDT
BAND/USDT,BAND,USDT
BAR/USDT,BAR,USDT
BAT/USDT,BAT,USDT
BB/USDT,BB,USDT
BCH/USDT,BCH,USDT
BEAMX/USDT,BEAMX,USDT
BEL/USDT,BEL,USDT
BERA/USDT,BERA,USDT
BFUSD/USDT,BFUSD,USDT
BICO/USDT,BICO,USDT
BIFI/USDT,BIFI,USDT
BIGTIME/USDT,BIGTIME,USDT
BIO/USDT,BIO,USDT
BLUR/USDT,BLUR,USDT
BMT/USDT,BMT,USDT
BNB/USDT,BNB,USDT
BNSOL/USDT,BNSOL,USDT
BNT/USDT,BNT,USDT
BOME/USDT,BOME,USDT
BONK/USDT,BONK,USDT
BROCCOLI714/USDT,BROCCOLI714,USDT
BTC/USDT,BTC,USDT
BTTC/USDT,BTTC,USDT
C/USDT,C,USDT
C98/USDT,C98,USDT
CAKE/USDT,CAKE,USDT
CATI/USDT,CATI,USDT
CELO/USDT,CELO,USDT
CELR/USDT,CELR,USDT
CETUS/USDT,CETUS,USDT
CFX/USDT,CFX,USDT
