symbol,base,quote
1000CAT/BNB,1000CAT,BNB
1000CAT/FDUSD,1000CAT,FDUSD
1000CAT/USDC,1000CAT,USDC
1000CHEEMS/USDC,1000CHEEMS,USDC
1000SATS/FDUSD,1000SATS,FDUSD
1000SATS/USDC,1000SATS,USDC
1INCH/BTC,1INCH,BTC
1MBABYDOGE/FDUSD,1MBABYDOGE,FDUSD
1MBABYDOGE/USDC,1MBABYDOGE,USDC
A/BTC,A,BTC
A/ETH,A,ETH
A/FDUSD,A,FDUSD
A/USDC,A,USDC
AAVE/BTC,AAVE,BTC
AAVE/ETH,AAVE,ETH
AAVE/FDUSD,AAVE,FDUSD
AAVE/USDC,AAVE,USDC
ACH/BTC,ACH,BTC
ACH/USDC,ACH,USDC
ACT/FDUSD,ACT,FDUSD
ACT/USDC,ACT,USDC
ACX/USDC,ACX,USDC
ADA/BNB,ADA,BNB
ADA/BTC,ADA,BTC
ADA/ETH,ADA,ETH
ADA/FDUSD,ADA,FDUSD
ADA/USDC,ADA,USDC
ADX/BTC,ADX,BTC
ADX/ETH,ADX,ETH
AEVO/BTC,AEVO,BTC
AEVO/FDUSD,AEVO,FDUSD
AGLD/BTC,AGLD,BTC
AI/BNB,AI,BNB
AI/BTC,AI,BTC
AI/FDUSD,AI,FDUSD
AIXBT/USDC,AIXBT,USDC
ALGO/BTC,ALGO,BTC
ALGO/USDC,ALGO,USDC
ALT/BNB,ALT,BNB
ALT/BTC,ALT,BTC
ALT/FDUSD,ALT,FDUSD
ALT/USDC,ALT,USDC
ANIME/USDC,ANIME,USDC
ANKR/BTC,ANKR,BTC
APE/BTC,APE,BTC
APE/FDUSD,APE,FDUSD
APE/USDC,APE,USDC
API3/BTC,API3,BTC
API3/USDC,API3,USDC
APT/BTC,APT,BTC
APT/ETH,APT,ETH
APT/FDUSD,APT,FDUSD
APT/USDC,APT,USDC
AR/BTC,AR,BTC
AR/FDUSD,AR,FDUSD
AR/USDC,AR,USDC
ARB/BTC,ARB,BTC
ARB/ETH,ARB,ETH
ARB/FDUSD,ARB,FDUSD
ARB/TUSD,ARB,TUSD
ARB/USDC,ARB,USDC
ARDR/BTC,ARDR,BTC
ARKM/BNB,ARKM,BNB
ARKM/BTC,ARKM,BTC
ARKM/FDUSD,ARKM,FDUSD
ARKM/USDC,ARKM,USDC
ARPA/BTC,ARPA,BTC
ASTR/BTC,ASTR,BTC
ATA/BTC,ATA,BTC
ATOM/BTC,ATOM,BTC
ATOM/ETH,ATOM,ETH
ATOM/FDUSD,ATOM,FDUSD
ATOM/USDC,ATOM,USDC
AUCTION/BTC,AUCTION,BTC
AUCTION/FDUSD,AUCTION,FDUSD
AUCTION/USDC,AUCTION,USDC
AUDIO/BTC,AUDIO,BTC
AVA/BTC,AVA,BTC
AVAX/BNB,AVAX,BNB
AVAX/BTC,AVAX,BTC
