symbol_id,symbol,base,quote,type,spot,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price,motivo_descartado
binance:1000000BOB/USDT:USDT,1000000BOB/USDT:USDT,1000000BOB,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000000MOG/USDT:USDT,1000000MOG/USDT:USDT,1000000MOG,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.1,0.0001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000BONK/USDC:USDC,1000BONK/USDC:USDC,1000BONK,USDC,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000BONK/USDT:USDT,1000BONK/USDT:USDT,1000BONK,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000CAT/TRY,1000CAT/TRY,1000CAT,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001,quote=FIAT
binance:1000CAT/USDT:USDT,1000CAT/USDT:USDT,1000CAT,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000CHEEMS/USDT:USDT,1000CHEEMS/USDT:USDT,1000CHEEMS,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000FLOKI/USDT:USDT,1000FLOKI/USDT:USDT,1000FLOKI,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000LUNC/USDT:USDT,1000LUNC/USDT:USDT,1000LUNC,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000PEPE/USDC:USDC,1000PEPE/USDC:USDC,1000PEPE,USDC,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000PEPE/USDT:USDT,1000PEPE/USDT:USDT,1000PEPE,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000RATS/USDT:USDT,1000RATS/USDT:USDT,1000RATS,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000SATS/TRY,1000SATS/TRY,1000SATS,TRY,spot,1,1,0.001,0.001,TRADING,1,1,0.000001,quote=FIAT
binance:1000SATS/USDT:USDT,1000SATS/USDT:USDT,1000SATS,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000SHIB/USDC:USDC,1000SHIB/USDC:USDC,1000SHIB,USDC,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000SHIB/USDT:USDT,1000SHIB/USDT:USDT,1000SHIB,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000WHY/USDT:USDT,1000WHY/USDT:USDT,1000WHY,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000X/USDT:USDT,1000X/USDT:USDT,1000X,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1000XEC/USDT:USDT,1000XEC/USDT:USDT,1000XEC,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1INCH/BUSD,1INCH/BUSD,1INCH,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:1INCH/USDT:USDT,1INCH/USDT:USDT,1INCH,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:1INCHDOWN/USDT,1INCHDOWN/USDT,1INCHDOWN,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:1INCHUP/USDT,1INCHUP/USDT,1INCHUP,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:1MBABYDOGE/TRY,1MBABYDOGE/TRY,1MBABYDOGE,TRY,spot,1,1,0.001,0.001,TRADING,1,1,0.00001,quote=FIAT
binance:1MBABYDOGE/USDT:USDT,1MBABYDOGE/USDT:USDT,1MBABYDOGE,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.0000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:A/TRY,A/TRY,A,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:A/USDT:USDT,A/USDT:USDT,A,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:A2Z/USDT:USDT,A2Z/USDT:USDT,A2Z,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:AAVE/BKRW,AAVE/BKRW,AAVE,BKRW,spot,1,0,0.001,0.001,BREAK,1,0.001,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:AAVE/BNB,AAVE/BNB,AAVE,BNB,spot,1,0,0.001,0.001,BREAK,1,0.001,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:AAVE/BRL,AAVE/BRL,AAVE,BRL,spot,1,0,0.001,0.001,BREAK,1,0.001,1,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:AAVE/BUSD,AAVE/BUSD,AAVE,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:AAVE/TRY,AAVE/TRY,AAVE,TRY,spot,1,1,0.001,0.001,TRADING,1,0.001,1,quote=FIAT
binance:AAVE/USD:AAVE,AAVE/USD:AAVE,AAVE,USD,swap,0,1,0.0005,0.0001,,,1,0.01,quote=FIAT; type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_status='NAN' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:AAVE/USDC:USDC,AAVE/USDC:USDC,AAVE,USDC,swap,0,1,0.0005,0.0002,TRADING,,0.1,0.01,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:AAVE/USDT:USDT,AAVE/USDT:USDT,AAVE,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.1,0.01,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:AAVEDOWN/USDT,AAVEDOWN/USDT,AAVEDOWN,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:AAVEUP/USDT,AAVEUP/USDT,AAVEUP,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:ACA/BTC,ACA/BTC,ACA,BTC,spot,1,0,0.001,0.001,BREAK,1,0.01,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACA/BUSD,ACA/BUSD,ACA,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.01,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACA/TRY,ACA/TRY,ACA,TRY,spot,1,1,0.001,0.001,TRADING,1,1,0.001,quote=FIAT
binance:ACE/BNB,ACE/BNB,ACE,BNB,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACE/BTC,ACE/BTC,ACE,BTC,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACE/FDUSD,ACE/FDUSD,ACE,FDUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACE/TRY,ACE/TRY,ACE,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:ACE/USDT:USDT,ACE/USDT:USDT,ACE,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.01,0.0001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:ACH/BUSD,ACH/BUSD,ACH,BUSD,spot,1,0,0.001,0.001,BREAK,1,1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACH/TRY,ACH/TRY,ACH,TRY,spot,1,1,0.001,0.001,TRADING,1,1,0.0001,quote=FIAT
binance:ACH/USDT:USDT,ACH/USDT:USDT,ACH,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.000001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:ACM/BTC,ACM/BTC,ACM,BTC,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACM/BUSD,ACM/BUSD,ACM,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACM/TRY,ACM/TRY,ACM,TRY,spot,1,0,0.001,0.001,BREAK,1,0.1,0.01,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACT/BRL,ACT/BRL,ACT,BRL,spot,1,0,0.001,0.001,BREAK,1,0.1,0.001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACT/EUR,ACT/EUR,ACT,EUR,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACT/TRY,ACT/TRY,ACT,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:ACT/USDT:USDT,ACT/USDT:USDT,ACT,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:ACX/FDUSD,ACX/FDUSD,ACX,FDUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ACX/TRY,ACX/TRY,ACX,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:ACX/USDT:USDT,ACX/USDT:USDT,ACX,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.1,0.0001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:ADA/AUD,ADA/AUD,ADA,AUD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/BIDR,ADA/BIDR,ADA,BIDR,spot,1,0,0.001,0.001,BREAK,1,0.1,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/BKRW,ADA/BKRW,ADA,BKRW,spot,1,0,0.001,0.001,BREAK,1,0.1,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/BRL,ADA/BRL,ADA,BRL,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001,quote=FIAT
binance:ADA/BUSD,ADA/BUSD,ADA,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/EUR,ADA/EUR,ADA,EUR,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001,quote=FIAT
binance:ADA/GBP,ADA/GBP,ADA,GBP,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/JPY,ADA/JPY,ADA,JPY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:ADA/PAX,ADA/PAX,ADA,PAX,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/RUB,ADA/RUB,ADA,RUB,spot,1,0,0.001,0.001,BREAK,1,0.1,0.01,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:ADA/TRY,ADA/TRY,ADA,TRY,spot,1,1,0.001,0.001,TRADING,1,0.1,0.01,quote=FIAT
binance:ADA/TUSD,ADA/TUSD,ADA,TUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
