symbol_id,symbol,base,quote,type,spot,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:1000CAT/BNB,1000CAT/BNB,1000CAT,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:1000CAT/FDUSD,1000CAT/FDUSD,1000CAT,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CAT/USDC,1000CAT/USDC,1000CAT,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CAT/USDT,1000CAT/USDT,1000CAT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CHEEMS/USDC,1000CHEEMS/USDC,1000CHEEMS,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:1000CHEEMS/USDT,1000CHEEMS/USDT,1000CHEEMS,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:1000SATS/FDUSD,1000SATS/FDUSD,1000SATS,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1000SATS/USDC,1000SATS/USDC,1000SATS,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1000SATS/USDT,1000SATS/USDT,1000SATS,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1INCH/BTC,1INCH/BTC,1INCH,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:1INCH/USDT,1INCH/USDT,1INCH,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:1MBABYDOGE/FDUSD,1MBABYDOGE/FDUSD,1MBABYDOGE,FDUSD,spot,1,1,0.001,0.001,TRADING,1,1,0.0000001
binance:1MBABYDOGE/USDC,1MBABYDOGE/USDC,1MBABYDOGE,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.0000001
binance:1MBABYDOGE/USDT,1MBABYDOGE/USDT,1MBABYDOGE,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0000001
binance:A/BTC,A/BTC,A,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:A/ETH,A/ETH,A,ETH,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:A/FDUSD,A/FDUSD,A,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A/USDC,A/USDC,A,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A/USDT,A/USDT,A,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:A2Z/USDT,A2Z/USDT,A2Z,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.000001
binance:AAVE/BTC,AAVE/BTC,AAVE,BTC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.000001
binance:AAVE/ETH,AAVE/ETH,AAVE,ETH,spot,1,1,0.001,0.001,TRADING,1,0.001,0.00001
binance:AAVE/FDUSD,AAVE/FDUSD,AAVE,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:AAVE/USDC,AAVE/USDC,AAVE,USDC,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:AAVE/USDT,AAVE/USDT,AAVE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.001,0.01
binance:ACA/USDT,ACA/USDT,ACA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:ACE/USDT,ACE/USDT,ACE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ACH/BTC,ACH/BTC,ACH,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ACH/USDC,ACH/USDC,ACH,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:ACH/USDT,ACH/USDT,ACH,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.00001
binance:ACM/USDT,ACM/USDT,ACM,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ACT/FDUSD,ACT/FDUSD,ACT,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACT/USDC,ACT/USDC,ACT,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACT/USDT,ACT/USDT,ACT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACX/USDC,ACX/USDC,ACX,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ACX/USDT,ACX/USDT,ACX,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/BNB,ADA/BNB,ADA,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.000001
binance:ADA/BTC,ADA/BTC,ADA,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:ADA/ETH,ADA/ETH,ADA,ETH,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:ADA/FDUSD,ADA/FDUSD,ADA,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/USDC,ADA/USDC,ADA,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADA/USDT,ADA/USDT,ADA,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ADX/BTC,ADX/BTC,ADX,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ADX/ETH,ADX/ETH,ADX,ETH,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ADX/USDT,ADX/USDT,ADX,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:AEUR/USDT,AEUR/USDT,AEUR,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AEVO/BTC,AEVO/BTC,AEVO,BTC,spot,1,1,0.001,0.001,TRADING,1,0.01,0.00000001
binance:AEVO/FDUSD,AEVO/FDUSD,AEVO,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
