symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:1000000BOB/USDT:USDT,1000000BOB/USDT:USDT,1000000BOB,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:1000000MOG/USDT:USDT,1000000MOG/USDT:USDT,1000000MOG,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.1,0.0001
binance:1000BONK/USDC:USDC,1000BONK/USDC:USDC,1000BONK,USDC,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:1000BONK/USDT:USDT,1000BONK/USDT:USDT,1000BONK,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:1000CAT/BNB,1000CAT/BNB,1000CAT,BNB,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:1000CAT/FDUSD,1000CAT/FDUSD,1000CAT,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CAT/TRY,1000CAT/TRY,1000CAT,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:1000CAT/USDC,1000CAT/USDC,1000CAT,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CAT/USDT,1000CAT/USDT,1000CAT,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.00001
binance:1000CAT/USDT:USDT,1000CAT/USDT:USDT,1000CAT,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:1000CHEEMS/USDC,1000CHEEMS/USDC,1000CHEEMS,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.000001
binance:1000CHEEMS/USDT,1000CHEEMS/USDT,1000CHEEMS,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.000001
binance:1000CHEEMS/USDT:USDT,1000CHEEMS/USDT:USDT,1000CHEEMS,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0000001
binance:1000FLOKI/USDT:USDT,1000FLOKI/USDT:USDT,1000FLOKI,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:1000LUNC/USDT:USDT,1000LUNC/USDT:USDT,1000LUNC,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:1000PEPE/USDC:USDC,1000PEPE/USDC:USDC,1000PEPE,USDC,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0000001
binance:1000PEPE/USDT:USDT,1000PEPE/USDT:USDT,1000PEPE,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0000001
binance:1000RATS/USDT:USDT,1000RATS/USDT:USDT,1000RATS,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.00001
binance:1000SATS/FDUSD,1000SATS/FDUSD,1000SATS,FDUSD,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1000SATS/TRY,1000SATS/TRY,1000SATS,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.000001
binance:1000SATS/USDC,1000SATS/USDC,1000SATS,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1000SATS/USDT,1000SATS/USDT,1000SATS,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:1000SATS/USDT:USDT,1000SATS/USDT:USDT,1000SATS,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0000001
binance:1000SHIB/USDC:USDC,1000SHIB/USDC:USDC,1000SHIB,USDC,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:1000SHIB/USDT:USDT,1000SHIB/USDT:USDT,1000SHIB,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:1000WHY/USDT:USDT,1000WHY/USDT:USDT,1000WHY,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.0000001
