symbol,base,quote,capital_simulado_quote,capital_usdt_equiv_003_slip,nivel,clasificacion
APE/USDT,APE,USDT,1000000.0,1693.02844,3,descartado
CRO/USDT,CRO,USDT,1000000.0,100.344584,1,descartado
EOS/USDT,EOS,USDT,1000000.0,1500.041993,3,descartado
MANA/USDT,MANA,USDT,1000000.0,4138.707139,6,descartado
MELANIA/USDT,MELANIA,USDT,1000000.0,5742.995356,6,descartado
PENGU/USDT,PENGU,USDT,1000000.0,5548.419869,6,descartado
S/USDT,S,USDT,1000000.0,4632.883377,4,descartado
TON/USDT,TON,USDT,1000000.0,7017.275927,5,descartado
USTC/USDT,USTC,USDT,1000000.0,3370.773218,4,descartado
VIRTUAL/USDT,VIRTUAL,USDT,1000000.0,6670.78628,4,descartado
XTZ/USDT,XTZ,USDT,1000000.0,8264.637411,7,descartado
AAVE/ETH,AAVE,ETH,389.3504,6387.550273,4,descartado
AI16Z/USDC,AI16Z,USDC,1000400.16,4838.576096,4,descartado
ALGO/ETH,ALGO,ETH,389.3504855,5128.386004,3,descartado
ALGO/USDC,ALGO,USDC,1000400.16006,1085.184314,3,descartado
ANKR/BTC,ANKR,BTC,9.1959519419,1136.746598,3,descartado
APE/USDC,APE,USDC,1000400.16,3574.427717,4,descartado
ATOM/BTC,ATOM,BTC,9.1959519,6317.082621,2,descartado
ATOM/ETH,ATOM,ETH,389.350485,4904.949589,4,descartado
ATOM/USDC,ATOM,USDC,1000400.16,2101.845804,2,descartado
AVAX/USDC,AVAX,USDC,1000400.16,1030.33663,3,descartado
BCH/ETH,BCH,ETH,389.3504,480.100596,2,descartado
BCH/USDC,BCH,USDC,1000400.16,5426.108998,2,descartado
BERA/USDC,BERA,USDC,1000400.16,3104.353045,5,descartado
COMP/BTC,COMP,BTC,9.195951,5214.644803,2,descartado
CRO/USDC,CRO,USDC,1000400.16006,375.396753,3,descartado
DOGE/USDC,DOGE,USDC,1000400.16006,1837.363741,7,descartado
DOT/BTC,DOT,BTC,9.19595194,6915.488625,7,descartado
DOT/USDC,DOT,USDC,1000400.16,1900.133025,3,descartado
EOS/USDC,EOS,USDC,1000400.16,292.713912,2,descartado
ETC/BTC,ETC,BTC,9.1959519,6321.686201,3,descartado
ETC/ETH,ETC,ETH,389.350485,573.879462,3,descartado
ETHW/ETH,ETHW,ETH,389.350485,684.303218,2,descartado
FARTCOIN/USDC,FARTCOIN,USDC,1000400.16,6634.77961,9,descartado
FIL/BTC,FIL,BTC,9.19595194,9730.790107,7,descartado
FIL/ETH,FIL,ETH,389.350485,1680.311124,3,descartado
GRT/BTC,GRT,BTC,9.195951941,6760.083987,3,descartado
LINK/ETH,LINK,ETH,389.35048552,1710.998032,5,descartado
LINK/USDC,LINK,USDC,1000400.16006,4172.656831,7,descartado
LSETH/ETH,LSETH,ETH,389.3504,16.74481,1,descartado
LTC/ETH,LTC,ETH,389.35048,5952.390086,2,descartado
LTC/USDC,LTC,USDC,1000400.16,9490.572475,5,descartado
MANA/BTC,MANA,BTC,9.195951941,7733.673237,8,descartado
MANA/USDC,MANA,USDC,1000400.16006,995.577162,3,descartado
MELANIA/USDC,MELANIA,USDC,1000400.16,2231.902322,5,descartado
MINA/BTC,MINA,BTC,9.195951941,2251.101097,4,descartado
MKR/BTC,MKR,BTC,9.19595,8005.999864,3,descartado
MLN/BTC,MLN,BTC,9.1959519,64.42687,1,descartado
S/USDC,S,USDC,1000400.16,2375.029913,3,descartado
SAND/BTC,SAND,BTC,9.195951941,1137.088912,2,descartado
SC/BTC,SC,BTC,9.1959519419,827.319709,1,descartado
SHIB/USDC,SHIB,USDC,1000400.16006402,1262.453633,3,descartado
SNX/BTC,SNX,BTC,9.19595194,611.535813,2,descartado
TBTC/BTC,TBTC,BTC,9.19595,2718.674495,2,descartado
TON/USDC,TON,USDC,1000400.16,548.561585,2,descartado
TRX/ETH,TRX,ETH,389.35048552,3990.892702,6,descartado
UNI/BTC,UNI,BTC,9.1959519,8731.377285,3,descartado
UNI/ETH,UNI,ETH,389.350485,2170.11732,3,descartado
USTC/USDC,USTC,USDC,1000400.16006,340.462313,1,descartado
VIRTUAL/USDC,VIRTUAL,USDC,1000400.16,512.487342,4,descartado
XMR/BTC,XMR,BTC,9.195951,5644.597028,8,descartado
XMR/USDC,XMR,USDC,1000400.16,1508.865542,4,descartado
XTZ/USDC,XTZ,USDC,1000400.16,675.409181,2,descartado
ZRX/BTC,ZRX,BTC,9.195951941,3975.420164,5,descartado
BTC/PYUSD,BTC,PYUSD,1003579.9,1095.413736,4,descartado
ETH/PYUSD,ETH,PYUSD,1048061.42,7.605642,1,descartado
