symbol,base,quote,1_dolar_equivale_a_quote,1_millon_equivale_a_quote
ADA/USDT,ADA,USDT,1,1000000.000000
AI16Z/USDT,AI16Z,USDT,1,1000000.0000
ALGO/USDT,ALGO,USDT,1,1000000.00000
APE/USDT,APE,USDT,1,1000000.0000
ATOM/USDT,ATOM,USDT,1,1000000.0000
AVAX/USDT,AVAX,USDT,1,1000000.00
BCH/USDT,BCH,USDT,1,1000000.00
BERA/USDT,BERA,USDT,1,1000000.000
BNB/USDT,BNB,USDT,1,1000000.00
BTC/USDT,BTC,USDT,1,1000000.0
CRO/USDT,CRO,USDT,1,1000000.00000
DAI/USDT,DAI,USDT,1,1000000.00000
DOGE/USDT,DOGE,USDT,1,1000000.00000
DOT/USDT,DOT,USDT,1,1000000.0000
EOS/USDT,EOS,USDT,1,1000000.0000
ETH/USDT,ETH,USDT,1,1000000.00
EURR/USDT,EURR,USDT,1,1000000.0000
FARTCOIN/USDT,FARTCOIN,USDT,1,1000000.0000
LINK/USDT,LINK,USDT,1,1000000.00000
LTC/USDT,LTC,USDT,1,1000000.00000
MANA/USDT,MANA,USDT,1,1000000.00000
MELANIA/USDT,MELANIA,USDT,1,1000000.0000
PENGU/USDT,PENGU,USDT,1,1000000.000000
RLUSD/USDT,RLUSD,USDT,1,1000000.00000
S/USDT,S,USDT,1,1000000.0000
SHIB/USDT,SHIB,USDT,1,1000000.00000000
SOL/USDT,SOL,USDT,1,1000000.00
TON/USDT,TON,USDT,1,1000000.000
TRUMP/USDT,TRUMP,USDT,1,1000000.000
USDC/USDT,USDC,USDT,1,1000000.0000
USDQ/USDT,USDQ,USDT,1,1000000.0000
USDR/USDT,USDR,USDT,1,1000000.0000
USTC/USDT,USTC,USDT,1,1000000.00000
VIRTUAL/USDT,VIRTUAL,USDT,1,1000000.0000
XMR/USDT,XMR,USDT,1,1000000.00
XRP/USDT,XRP,USDT,1,1000000.00000
XTZ/USDT,XTZ,USDT,1,1000000.0000
AAVE/BTC,AAVE,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951
AAVE/ETH,AAVE,ETH,0.00038935048552005544350913805589515570125915947017186,389.3504
ADA/BTC,ADA,BTC,0.0000091959519419551513423790847269032172037868930096971,9.19595194
ADA/ETH,ADA,ETH,0.00038935048552005544350913805589515570125915947017186,389.3504855
ADA/USDC,ADA,USDC,1.0004001600640256102440976390556222488995598239296,1000400.160064
AI16Z/USDC,AI16Z,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
ALGO/BTC,ALGO,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951941
ALGO/ETH,ALGO,ETH,0.00038935048552005544350913805589515570125915947017186,389.3504855
ALGO/USDC,ALGO,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16006
ANKR/BTC,ANKR,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519419
APE/USDC,APE,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
ATOM/BTC,ATOM,BTC,0.0000091959519419551513423790847269032172037868930096971,9.1959519
ATOM/ETH,ATOM,ETH,0.00038935048552005544350913805589515570125915947017186,389.350485
ATOM/USDC,ATOM,USDC,1.0004001600640256102440976390556222488995598239296,1000400.1600
AVAX/USDC,AVAX,USDC,1.0004001600640256102440976390556222488995598239296,1000400.16
BCH/BTC,BCH,BTC,0.0000091959519419551513423790847269032172037868930096971,9.195951
