symbol,base,quote,1_dolar_equivale_a_quote,cotizacion
ADA/USDT,ADA,USDT,1,directo
AI16Z/USDT,AI16Z,USDT,1,directo
ALGO/USDT,ALGO,USDT,1,directo
APE/USDT,APE,USDT,1,directo
ATOM/USDT,ATOM,USDT,1,directo
AVAX/USDT,AVAX,USDT,1,directo
BCH/USDT,BCH,USDT,1,directo
BERA/USDT,BERA,USDT,1,directo
BNB/USDT,BNB,USDT,1,directo
BTC/USDT,BTC,USDT,1,directo
CRO/USDT,CRO,USDT,1,directo
DAI/USDT,DAI,USDT,1,directo
DOGE/USDT,DOGE,USDT,1,directo
DOT/USDT,DOT,USDT,1,directo
EOS/USDT,EOS,USDT,1,directo
ETH/USDT,ETH,USDT,1,directo
EURR/USDT,EURR,USDT,1,directo
FARTCOIN/USDT,FARTCOIN,USDT,1,directo
LINK/USDT,LINK,USDT,1,directo
LTC/USDT,LTC,USDT,1,directo
MANA/USDT,MANA,USDT,1,directo
MELANIA/USDT,MELANIA,USDT,1,directo
PENGU/USDT,PENGU,USDT,1,directo
RLUSD/USDT,RLUSD,USDT,1,directo
S/USDT,S,USDT,1,directo
SHIB/USDT,SHIB,USDT,1,directo
SOL/USDT,SOL,USDT,1,directo
TON/USDT,TON,USDT,1,directo
TRUMP/USDT,TRUMP,USDT,1,directo
USDC/USDT,USDC,USDT,1,directo
USDQ/USDT,USDQ,USDT,1,directo
USDR/USDT,USDR,USDT,1,directo
USTC/USDT,USTC,USDT,1,directo
VIRTUAL/USDT,VIRTUAL,USDT,1,directo
XMR/USDT,XMR,USDT,1,directo
XRP/USDT,XRP,USDT,1,directo
XTZ/USDT,XTZ,USDT,1,directo
AAVE/BTC,AAVE,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
AAVE/ETH,AAVE,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
ADA/BTC,ADA,BTC,0.0000091959519419551513423790847269032172037868930096971,indirecto_por_quote
ADA/ETH,ADA,ETH,0.00038935048552005544350913805589515570125915947017186,indirecto_por_quote
ADA/USDC,ADA,USDC,1.0004001600640256102440976390556222488995598239296,indirecto_por_quote
