par_1,par_2,par_3,forma
ADA/USDT,ADA/BTC,BTC/USDT,forma_5_100
ADA/USDT,ADA/ETH,ETH/USDT,forma_5_100
ADA/USDT,ADA/USDC,USDC/USDT,forma_5_100
ALGO/USDT,ALGO/BTC,BTC/USDT,forma_5_100
BCH/USDT,BCH/BTC,BTC/USDT,forma_5_100
BNB/USDT,BNB/USDC,USDC/USDT,forma_5_100
BTC/USDT,BTC/DAI,DAI/USDT,forma_5_100
BTC/USDT,BTC/USDC,USDC/USDT,forma_5_100
BTC/USDT,BTC/USDQ,USDQ/USDT,forma_5_100
BTC/USDT,BTC/USDR,USDR/USDT,forma_5_100
DOGE/USDT,DOGE/BTC,BTC/USDT,forma_5_100
DOT/USDT,DOT/ETH,ETH/USDT,forma_5_100
ETH/USDT,ETH/BTC,BTC/USDT,forma_5_100
ETH/USDT,ETH/DAI,DAI/USDT,forma_5_100
ETH/USDT,ETH/USDC,USDC/USDT,forma_5_100
EURR/USDT,EURR/USDC,USDC/USDT,forma_5_100
LINK/USDT,LINK/BTC,BTC/USDT,forma_5_100
LTC/USDT,LTC/BTC,BTC/USDT,forma_5_100
RLUSD/USDT,RLUSD/USDC,USDC/USDT,forma_5_100
SOL/USDT,SOL/BTC,BTC/USDT,forma_5_100
SOL/USDT,SOL/ETH,ETH/USDT,forma_5_100
SOL/USDT,SOL/USDC,USDC/USDT,forma_5_100
TRUMP/USDT,TRUMP/USDC,USDC/USDT,forma_5_100
USDQ/USDT,USDQ/USDC,USDC/USDT,forma_5_100
USDR/USDT,USDR/USDC,USDC/USDT,forma_5_100
XRP/USDT,XRP/BTC,BTC/USDT,forma_5_100
XRP/USDT,XRP/ETH,ETH/USDT,forma_5_100
XRP/USDT,XRP/RLUSD,RLUSD/USDT,forma_5_100
XRP/USDT,XRP/USDC,USDC/USDT,forma_5_100
